,,,,,
,,,,,
,O,C,E,A,N
,"99,00","66,00","66,00","50,00","50,00"
,"79,00","60,00","99,00","50,00","50,00"
,"38,00","38,00","1,00","38,00","99,00"
,"77,00","55,00","99,00","12,00","66,00"
,"99,00","55,00","66,00","99,00","23,00"
,"40,00","50,00","50,00","99,00","60,00"
,"87,00","26,00","99,00","50,00","26,00"
,"99,00","50,00","99,00","66,00","66,00"
,"16,00","16,00","39,00","99,00","31,00"
,"99,00","22,00","82,00","36,00","36,00"
,"79,00","50,00","99,00","60,00","40,00"
,"99,00","47,00","41,00","53,00","70,00"
,"50,00","50,00","43,00","99,00","50,00"
,"87,00","76,00","99,00","93,00","50,00"
,"57,00","15,00","29,00","99,00","29,00"
,"62,00","87,00","75,00","99,00","38,00"
,"66,00","23,00","99,00","45,00","12,00"
,"43,00","85,00","15,00","99,00","50,00"
,"50,00","34,00","50,00","99,00","50,00"
,"77,00","99,00","66,00","34,00","55,00"
,"66,00","34,00","99,00","34,00","99,00"
,"99,00","50,00","74,00","26,00","50,00"
,"99,00","67,00","92,00","29,00","50,00"
,"26,00","1,00","99,00","75,00","50,00"
,"99,00","43,00","15,00","15,00","50,00"
,"45,00","99,00","1,00","12,00","23,00"
,"99,00","50,00","1,00","50,00","17,00"
,"99,00","50,00","50,00","26,00","26,00"
,"50,00","26,00","50,00","99,00","26,00"
,"99,00","85,00","85,00","71,00","43,00"
,"99,00","34,00","50,00","17,00","99,00"
,"99,00","50,00","99,00","99,00","50,00"
,"60,00","40,00","99,00","99,00","79,00"
,"50,00","9,00","1,00","99,00","17,00"
,"99,00","40,00","79,00","79,00","21,00"
,"99,00","99,00","66,00","34,00","34,00"
,"83,00","83,00","99,00","17,00","34,00"
,"17,00","66,00","50,00","99,00","17,00"
,"50,00","50,00","34,00","1,00","99,00"
,"85,00","99,00","71,00","15,00","43,00"
,"99,00","50,00","85,00","85,00","29,00"
,"66,00","50,00","99,00","50,00","66,00"
,"85,00","15,00","29,00","99,00","43,00"
,"99,00","50,00","99,00","50,00","50,00"
,"99,00","54,00","72,00","46,00","54,00"
,"99,00","47,00","94,00","85,00","99,00"
,"85,00","72,00","88,00","99,00","69,00"
,"99,00","86,00","88,00","86,00","14,00"
,"99,00","26,00","66,00","58,00","50,00"
,"60,00","16,00","99,00","21,00","55,00"
,"99,00","47,00","82,00","53,00","53,00"
,"99,00","42,00","50,00","42,00","9,00"
,"60,00","30,00","99,00","30,00","70,00"
,"72,00","81,00","54,00","99,00","10,00"
,"23,00","50,00","50,00","43,00","99,00"
,"99,00","59,00","82,00","82,00","30,00"
,"99,00","88,00","88,00","45,00","34,00"
,"99,00","71,00","29,00","71,00","50,00"
,"99,00","66,00","50,00","66,00","34,00"
,"95,00","54,00","99,00","50,00","66,00"
,"99,00","44,00","99,00","80,00","46,00"
,37.75,50.0,50.0,50.0,45.91
,"45,44","48,86","62,53","51,14","46,58"
,"44,35",50.0,"72,62","48,12","40,58"
,"41,02","50,82","48,37","50,82","49,18"
,32.56,35.85,64.42,51.29,61.4
,48.6,55.29,47.12,43.84,63.66
,36.95,63.28,44.19,55.01,35.52
,57.26,46.33,46.51,52.7,55.81
,67.69,63.76,45.95,43.98,45.8
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,51.52,"
60.0","
39.97","
37.56",37.76
,66.51,68.03,39.08,53.39,55.22
,67.3,37.32,60.52,"70.4","35.08"
,"34.83","44.47","42.92","39.77","45.72"
,69.97,66.0,"69.87",51.15,58.11
